periodo,valor
2021-10-13,22.85
2021-10-14,22.85
2021-10-15,22.85
2021-10-18,22.85
2021-10-19,22.85
2021-10-20,22.85
2021-10-21,22.85
2021-10-22,22.85
2021-10-25,23.35
2021-10-26,23.35
2021-10-27,23.35
2021-10-28,23.35
2021-10-29,23.85
2021-11-01,23.85
2021-11-02,24.35
2021-11-03,24.35
2021-11-04,24.35
2021-11-05,24.35
2021-11-08,24.35
2021-11-09,24.35
2021-11-10,24.35
2021-11-11,24.65
2021-11-12,24.65
2021-11-15,24.65
2021-11-16,24.65
2021-11-17,24.95
2021-11-18,24.95
2021-11-19,24.95
2021-11-22,24.95
2021-11-23,24.95
2021-11-24,24.95
2021-11-25,24.95
2021-11-26,24.95
2021-11-29,24.95
2021-11-30,24.95
2021-12-01,24.95
2021-12-02,25.45
2021-12-03,25.65
2021-12-06,25.65
2021-12-07,25.65
2021-12-08,26.35
2021-12-09,26.95
2021-12-10,26.95
2021-12-13,27.65
2021-12-14,27.65
2021-12-15,27.65
2021-12-16,27.65
2021-12-17,27.65
2021-12-20,28.45
2021-12-21,28.45
2021-12-22,29.15
2021-12-23,29.95
2021-12-24,30.65
2021-12-27,31.45
2021-12-28,31.45
2021-12-29,31.45
2021-12-30,32.35
2021-12-31,33.15
2022-1-04,33.15
2022-1-05,33.15
2022-1-06,33.85
2022-1-07,34.85
2022-1-10,35.85
2022-1-11,36.85
2022-1-12,37.85
2022-1-13,38.85
2022-1-14,38.85
2022-1-17,38.85
2022-1-18,39.85
2022-1-19,40.85
2022-1-20,41.85
2022-1-21,42.85
2022-1-24,43.85
2022-1-25,43.85
2022-1-26,43.85
2022-1-27,43.85
2022-1-28,45.15
2022-2-07,46.35
2022-2-08,46.35
2022-2-09,47.65
2022-2-10,47.65
2022-2-11,48.85
2022-2-14,49.85
2022-2-15,50.85
2022-2-16,52.35
2022-2-17,53.85
2022-2-18,53.85
2022-2-21,53.85
2022-2-22,53.85
2022-2-23,53.85
2022-2-24,54.35
2022-2-25,55.85
2022-2-28,56.05
2022-3-01,56.05
2022-3-02,57.55
2022-3-03,57.55
2022-3-04,57.55
2022-3-07,57.55
2022-3-08,57.55
2022-3-09,57.55
2022-3-10,57.55
2022-3-11,57.55
2022-3-14,57.55
2022-3-15,58.05
2022-3-16,58.05
2022-3-17,58.05
2022-3-18,58.05
2022-3-21,58.05
2022-3-22,58.05
2022-3-23,58.05
2022-3-24,58.05
2022-3-25,58.05
2022-3-28,58.05
2022-3-29,58.05
2022-3-30,57.55
2022-3-31,57.55
2022-4-01,57.55
2022-4-02,57.55
2022-4-06,57.55
2022-4-07,57.55
2022-4-08,57.55
2022-4-11,56.55
2022-4-12,56.55
2022-4-13,56.55
2022-4-14,56.55
2022-4-15,56.55
2022-4-18,56.55
2022-4-19,56.55
2022-4-20,56.05
2022-4-21,56.05
2022-4-22,55.55
2022-4-24,55.55
2022-4-25,55.35
2022-4-26,55.15
2022-4-27,54.95
2022-4-28,54.75
2022-4-29,54.75
2022-5-05,54.25
2022-5-06,54.25
2022-5-07,54.25
2022-5-09,54.25
2022-5-10,54.25
2022-5-11,54.25
2022-5-12,54.25
2022-5-13,54.25
2022-5-16,54.25
2022-5-17,54.25
2022-5-18,54.25
2022-5-19,54.25
2022-5-20,54.25
2022-5-23,54.25
2022-5-24,54.25
2022-5-25,54.25
2022-5-26,54.75
2022-5-27,55.75
2022-5-30,56.75
2022-5-31,57.85
2022-6-01,57.85
2022-6-02,57.85
2022-6-06,58.05
2022-6-07,59.05
2022-6-08,59.05
2022-6-09,60.55
2022-6-10,60.55
2022-6-13,60.85
2022-6-14,60.85
2022-6-15,60.85
2022-6-16,60.85
2022-6-17,60.85
2022-6-20,60.85
2022-6-21,60.85
2022-6-22,60.85
2022-6-23,60.85
2022-6-24,60.85
2022-6-27,60.85
2022-6-28,60.85
